cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
389,47.695,3.567,16.59,3.093,1.975,210.0,100,0,0.7678,26607.4,36.67,434.31,-6.0,33.3,0.122,0.009,-0.037,0.228,0.134,0.145,583.14,231.8,351.34,4.9,5256,350.0,123.15,17111.65,67,433,433
390,48.292,3.476,17.236,3.226,1.802,210.0,100,0,0.7445,25367.19,38.01,325.98,-6.0,35.1,0.117,0.011,-0.031,0.23,0.133,0.146,383.23,0.3,382.93,3.3,5263,400.0,126.14,17286.79,67,434,434
391,47.514,3.689,16.735,3.254,1.649,209.797,100,0,0.7579,24624.91,36.95,301.71,-6.0,36.9,0.113,0.014,-0.028,0.234,0.136,0.139,337.8,231.0,106.8,2.8,5264,247.46,89.24,17461.97,66,435,435
392,49.256,3.886,16.745,3.224,1.838,210.0,100,0,0.7427,24985.02,41.51,374.06,-6.0,37.3,0.119,0.025,-0.021,0.235,0.162,0.146,573.98,0.4,573.58,4.9,5287,320.0,76.4,17639.39,66,437,437
393,49.714,3.713,17.478,3.188,1.942,210.0,100,0,0.758,26135.03,42.56,366.22,-6.0,36.5,0.116,0.024,-0.026,0.235,0.161,0.15,761.93,0.6,761.33,6.5,5326,430.42,137.81,17824.07,66,438,438
394,51.845,3.51,17.941,2.917,2.153,210.0,100,0,0.8038,26497.14,38.61,381.78,-4.0,35.4,0.115,0.023,-0.024,0.236,0.157,0.15,611.74,0.0,611.74,5.0,5350,379.0,110.5,18015.13,65,438,438
395,55.969,3.526,19.0,3.11,1.83,210.0,100,0,0.7857,25930.97,39.29,364.22,-4.0,36.7,0.12,0.022,-0.022,0.232,0.143,0.145,427.01,231.0,196.01,3.4,5357,535.32,126.68,18200.13,65,439,439
396,57.803,3.185,18.915,3.225,1.893,210.0,100,0,0.8046,26334.25,35.53,393.18,-2.0,35.7,0.12,0.023,-0.019,0.232,0.142,0.143,212.8,1.0,211.8,1.6,5347,135.0,112.2,18387.67,64,439,439
397,53.659,3.652,17.538,3.182,1.73,210.0,100,0,0.7787,25733.83,30.4,341.38,-4.0,34.7,0.119,0.017,-0.011,0.244,0.13,0.133,397.2,231.0,166.2,3.0,5350,335.75,114.11,18580.22,63,440,440
398,55.497,3.8,17.998,3.326,1.894,210.0,100,0,0.7842,26183.84,33.64,433.1,-4.0,34.6,0.12,0.016,-0.017,0.237,0.131,0.126,282.37,231.1,51.27,2.3,5346,366.87,146.61,18765.03,63,442,442
399,54.214,3.654,18.854,3.356,2.068,210.0,100,0,0.8021,25186.38,34.65,431.24,-4.0,35.7,0.134,0.013,-0.015,0.24,0.132,0.139,340.18,0.0,340.18,2.7,5347,145.0,130.77,18955.3,62,442,442
400,52.533,3.6,16.862,3.507,2.087,210.0,100,0,0.7988,25405.57,35.78,495.38,-4.0,34.2,0.124,0.02,-0.025,0.254,0.131,0.141,184.78,231.0,-46.22,1.4,5334,470.0,112.1,19146.58,61,443,443
401,56.139,3.64,18.593,3.408,1.92,210.0,100,0,0.8246,24553.42,27.97,577.2,-4.0,34.8,0.12,0.023,-0.026,0.25,0.133,0.142,401.31,231.1,170.21,3.4,5341,314.62,74.34,19349.97,61,443,443
402,56.648,3.581,19.178,3.68,1.942,210.0,100,0,0.7987,25680.14,35.93,437.25,-4.0,32.0,0.111,0.022,-0.025,0.239,0.131,0.139,911.07,462.2,448.87,7.0,5382,626.35,110.71,19544.59,61,443,443
403,58.314,3.425,16.301,3.732,2.153,210.0,100,0,0.7869,26206.73,34.69,415.25,-6.0,31.6,0.107,0.027,-0.019,0.228,0.135,0.133,402.75,1.5,401.25,3.0,5385,350.0,100.92,19747.24,60,444,444
404,58.28,3.406,15.703,3.308,2.381,210.0,100,0,0.8027,27093.17,35.54,415.25,-6.0,30.2,0.108,0.024,-0.015,0.224,0.132,0.124,365.15,0.9,364.25,3.2,5390,625.0,141.96,19951.49,60,444,444
405,58.363,3.268,14.455,3.465,2.493,197.535,100,0,0.7961,26492.5,26.64,302.96,-6.0,30.3,0.123,0.031,-0.017,0.237,0.14,0.122,153.89,231.0,-77.11,1.4,5376,240.0,123.87,20160.45,60,445,445
406,54.648,3.205,15.137,3.56,2.261,198.73,100,0,0.7425,27559.82,36.44,402.44,-5.52,29.4,0.122,0.032,-0.01,0.236,0.14,0.124,647.55,0.0,647.55,6.4,5413,570.24,121.57,20362.02,60,446,446
407,50.754,3.008,16.271,3.461,2.314,210.0,100,0,0.7634,27446.81,30.48,394.73,-3.4,29.8,0.116,0.028,-0.01,0.241,0.138,0.128,211.93,0.0,211.93,2.0,5406,60.0,123.17,20573.01,59,446,446
408,52.125,3.234,17.225,3.609,2.554,210.0,100,0,0.8198,28132.48,32.12,527.61,-3.4,28.7,0.116,0.031,-0.011,0.238,0.138,0.127,694.79,0.0,694.79,6.1,5440,230.48,92.83,20784.63,59,447,447
409,52.374,3.194,16.952,3.289,2.67,210.0,100,0,0.8444,28962.27,32.93,559.52,-3.4,27.5,0.109,0.026,-0.016,0.22,0.13,0.128,446.15,0.2,445.95,3.7,5450,361.45,101.42,20997.42,59,448,448
410,56.621,3.302,18.956,3.095,2.938,210.0,100,0,0.8245,29630.02,32.75,558.98,-4.0,26.9,0.107,0.028,-0.018,0.214,0.128,0.125,225.45,1.2,224.25,1.9,5442,409.91,104.65,21212.69,59,448,448
411,52.176,3.593,19.731,3.221,3.035,210.0,100,0,0.8251,29269.33,30.68,552.19,-3.4,27.2,0.122,0.031,-0.026,0.214,0.128,0.121,265.38,1.2,264.18,2.0,5435,128.9,104.65,21426.97,59,448,448
412,54.346,3.163,19.659,3.342,3.034,210.0,100,0,0.8289,29857.57,29.81,541.03,-3.4,26.1,0.125,0.031,-0.027,0.207,0.127,0.123,262.42,0.0,262.42,1.9,5427,236.7,110.66,21645.33,59,449,449
413,53.749,3.318,19.239,3.062,3.223,210.0,100,0,0.8657,30621.33,27.79,771.68,-3.4,26.1,0.125,0.034,-0.021,0.197,0.127,0.122,522.92,0.0,522.92,3.8,5438,260.0,62.41,21871.1,57,449,449
414,56.891,3.268,19.222,3.358,3.534,210.0,100,0,0.8592,30912.55,27.15,683.84,-4.0,26.9,0.122,0.045,-0.009,0.196,0.143,0.122,538.69,0.0,538.69,4.0,5451,170.0,81.09,22096.11,57,449,449
